Stock Summary as on 31/08/2026,,,,,
Warehouse Location: Pune,,,,,
,,,,,
Item Name,Opening Stock,Quantity In,Quantity Out,Closing Stock,Purchase Account Name
UB-L TYPE M12 4PIN CONNECTORS, 	-   , 	35.00 , 	-   , 	35.00 ,Cost of Goods Sold
UB-LASHING BELT, 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
UB-LUGS COPPER RING TYPE 35SQMMx6.4ID, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
UB-LUGS COPPER RING TYPE 35SQMMx8.2ID, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
UB-LUGS COPPER RING TYPE 4-6SQMMX8.2 ID, 	-   , 	-   , 	200.00 , 	-200.00 ,Cost of Goods Sold
UB-LUGS PIN TYPE 1.5SQMM, 	-   , 	-   , 	8.00 , 	-8.00 ,Cost of Goods Sold
UB-LUGS PIN TYPE 2.5SQMM, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
UB-LUGS PIN TYPE 35 MM, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
UB-LUGS PIN TYPE 6SQMM, 	-   , 	-   , 	1.00 , 	-1.00 ,Cost of Goods Sold
UB-PG GLAND 16MM, 	-   , 	-   , 	55.00 , 	-55.00 ,Cost of Goods Sold
UB-PG GLAND 21MM, 	-   , 	49.00 , 	-   , 	49.00 ,Cost of Goods Sold
UB-SAMPLE COCK, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
UB-SMS GASKET 25MM, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
UB-SMS GASKET 38MM, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
UB-SMS GASKET 51MM, 	-   , 	11.00 , 	-   , 	11.00 ,Cost of Goods Sold
UB-SMS GASKET 63MM, 	-   , 	35.00 , 	-   , 	35.00 ,Cost of Goods Sold
UB-SMS NITRILE GASKET 150MM, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
UB-SQUARE PIPE 100X50X3MM THK, 	-   , 	90.60 , 	-   , 	90.60 ,Cost of Goods Sold
UB-SQUARE PIPE 25X25MM X 3MM THK, 	-   , 	-   , 	40.00 , 	-40.00 ,Cost of Goods Sold
UB-SQUARE PIPE 40 X 40 MM X 2MM THK, 	-   , 	12.40 , 	-   , 	12.40 ,Cost of Goods Sold
UB-SQUARE PIPE 50 X 50 X 2 MM THK, 	-   , 	12.20 , 	-   , 	12.20 ,Cost of Goods Sold
UB-SQUARE PIPE 60 X 40 MM X 2MM THK, 	-   , 	2.50 , 	-   , 	2.50 ,Cost of Goods Sold
UB-SS BARREL NIPPLE 1'', 	-   , 	3.00 , 	-   , 	3.00 ,Cost of Goods Sold
UB-SS BARREL NIPPLE 1''x4'', 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
UB-SS CABLE TIES 200MM, 	-   ," 	1,100.00 "," 	4,000.00 "," 	-2,900.00 ",Cost of Goods Sold
UB-SS CLAMP 101MM, 	-   , 	3.00 , 	-   , 	3.00 ,Cost of Goods Sold
UB-SS CLAMP 152MM, 	-   , 	36.00 , 	-   , 	36.00 ,Cost of Goods Sold
UB-SS CLAMP 168MM, 	-   , 	9.00 , 	-   , 	9.00 ,Cost of Goods Sold
UB-SS CLAMP 25MM, 	-   , 	12.00 , 	-   , 	12.00 ,Cost of Goods Sold
UB-SS CLAMP 2''x2 1/2'', 	-   , 	30.00 , 	-   , 	30.00 ,Cost of Goods Sold
UB-SS CLAMP 38MM, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
UB-SS CLAMP 51MM, 	-   , 	115.00 , 	-   , 	115.00 ,Cost of Goods Sold
UB-SS FLANGE 2''X150, 	-   , 	3.00 , 	-   , 	3.00 ,Cost of Goods Sold
UB-SS GLAND DOUBLE COMPRESSION 16MM, 	-   , 	-   , 	80.00 , 	-80.00 ,Cost of Goods Sold
UB-SS GLAND DOUBLE COMPRESSION 19MM, 	-   , 	8.00 , 	70.00 , 	-62.00 ,Cost of Goods Sold
UB-SS HEXBOLT M12X60, 	-   , 	50.00 , 	-   , 	50.00 ,Cost of Goods Sold
UB-SS HOSE CLAMP 51MM, 	-   , 	-   , 	8.00 , 	-8.00 ,Cost of Goods Sold
UB-SS PANEL 1200X850X325MM, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
UB-SS PANEL 2000+300x1200x600, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
UB-SS PANEL 800X700X225MM, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
UB-SS REDUCER 51X38MM, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
UB-SS REDUCER 76X51MM, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
UB-SS SOCKET 1/2'', 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
UB-SS SOCKET 3/8'', 	-   , 	13.00 , 	-   , 	13.00 ,Cost of Goods Sold
UB-SS T.C CLAMP 51MM, 	-   , 	6.00 , 	-   , 	6.00 ,Cost of Goods Sold
UB-SS TC CLAMP 2'', 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
UB-SS304 BASE PLATE 150MM X 5MM THICKNESS, 	-   , 	4.00 , 	100.00 , 	-96.00 ,Cost of Goods Sold
UB-SS304 BEND 152x3MM THK, 	-   , 	28.00 , 	-   , 	28.00 ,Cost of Goods Sold
UB-SS304 C.R.S.S SHEET 0.5x2.5MM, 	-   , 	7.70 , 	-   , 	7.70 ,Cost of Goods Sold
UB-SS304 CABLE TRAY 200X50X4.5X2.5MTR, 	-   , 	-   , 	80.00 , 	-80.00 ,Cost of Goods Sold
UB-SS304 CORRUGATED HOSE PIPE 51MM WITH SMS UNION, 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
UB-SS304 DUMMY CIRCLE 38MM, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
UB-SS304 HEXBOLT & NUT 14X60MM, 	-   , 	40.00 , 	-   , 	40.00 ,Cost of Goods Sold
UB-SS304 M14x60MM NUTBOLT WITH WASHER, 	-   , 	12.00 , 	-   , 	12.00 ,Cost of Goods Sold
UB-SS304 MANUAL BFV 152MM WITH TC END, 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
UB-SS304 MANUAL BFV 51MM WITH SMS UNION, 	-   , 	3.00 , 	-   , 	3.00 ,Cost of Goods Sold
